datetime,open,high,low,close,volume
2015-05-04,11530.2,11677.1,11417.7,11623.7,79835.0
2015-05-05,11602.2,11767.0,11307.0,11340.0,168425.0
2015-05-06,11385.0,11471.8,11248.5,11345.0,142238.0
2015-05-07,11372.0,11448.8,11174.0,11397.5,111314.0
2015-05-08,11439.0,11740.8,11420.0,11721.5,93201.0
2015-05-11,11717.5,11726.5,11608.0,11629.0,116840.0
2015-05-12,11637.5,11654.0,11381.5,11498.0,176523.0
2015-05-13,11525.0,11603.8,11298.5,11329.0,152940.0
2015-05-14,11330.0,11586.5,11221.5,11571.1,79697.0
2015-05-15,11566.1,11642.0,11385.5,11475.5,126176.0
2015-05-18,11476.5,11641.8,11383.0,11628.5,122851.0
2015-05-19,11668.0,11887.2,11651.5,11824.9,121109.0
2015-05-20,11841.4,11889.7,11786.4,11863.4,109673.0
2015-05-21,11844.9,11900.7,11764.5,11880.4,105771.0
2015-05-22,11882.4,11887.0,11795.0,11843.5,85748.0
2015-05-26,11781.0,11931.3,11588.0,11652.0,124423.0
2015-05-27,11651.5,11802.3,11601.0,11783.0,112040.0
2015-05-28,11752.8,11778.3,11606.5,11703.5,107548.0
2015-05-29,11693.5,11719.0,11399.0,11436.8,134237.0
2015-06-01,11491.3,11509.6,11341.3,11462.5,115769.0
2015-06-02,11460.5,11482.5,11268.0,11325.8,57601.0
2015-06-03,11345.0,11514.3,11294.0,11392.5,154658.0
2015-06-04,11368.3,11449.8,11181.5,11259.0,183369.0
2015-06-05,11257.0,11287.0,11131.0,11188.0,74813.0
2015-06-08,11207.0,11220.8,10986.5,11017.5,85743.0
2015-06-09,11020.0,11068.0,10858.1,10960.2,78656.0
2015-06-10,10975.2,11305.0,10932.7,11261.5,56728.0
2015-06-11,11250.5,11457.7,11237.0,11313.8,52984.0
2015-06-12,11304.2,11365.9,11065.4,11203.4,65857.0
2015-06-15,11093.4,11114.4,10952.4,11017.4,50981.0
2015-06-16,10995.4,11077.4,10797.5,11063.3,57447.0
2015-06-17,11081.9,11117.9,10873.6,10921.6,60837.0
2015-06-18,10872.6,11285.1,10804.6,11132.6,57434.0
2015-06-19,11084.3,11250.3,10995.3,11032.3,54644.0
2015-06-22,11221.3,11485.6,11217.8,11435.8,66628.0
2015-06-23,11535.8,11637.8,11516.8,11574.4,48408.0
2015-06-24,11585.4,11590.5,11364.2,11415.7,51501.0
2015-06-25,11426.7,11600.7,11345.7,11445.2,52142.0
2015-06-26,11384.7,11562.2,11369.2,11519.7,50811.0
2015-06-29,10910.1,11292.1,10852.2,10979.3,70928.0
2015-06-30,11014.4,11137.4,10895.8,10995.5,65126.0
2015-07-01,11077.0,11286.5,10976.5,11166.5,60541.0
2015-07-02,11169.5,11230.7,11068.5,11117.0,42019.0
2015-07-03,11126.0,11133.0,11003.0,11104.1,67739.0
2015-07-06,10777.1,10993.6,10743.6,10862.9,69169.0
2015-07-07,10905.4,10945.0,10895.9,10895.9,111727.0
2015-07-08,10766.6,10802.4,10648.4,10702.4,110239.0
2015-07-09,10805.4,11031.5,10777.4,10960.9,79164.0
2015-07-10,11200.9,11400.5,11144.8,11391.5,80265.0
2015-07-13,11321.0,11511.0,11253.0,11487.0,62038.0
2015-07-14,11509.5,11549.5,11412.7,11533.5,37626.0
2015-07-15,11528.5,11571.0,11477.5,11534.3,36066.0
2015-07-16,11603.8,11792.0,11603.8,11730.5,40556.0
2015-07-17,11727.0,11768.5,11651.5,11688.9,32333.0
2015-07-20,11760.4,11809.4,11759.0,11759.0,24513.0
2015-07-21,11774.5,11780.5,11571.9,11605.4,32239.0
2015-07-22,11566.9,11596.9,11483.8,11541.8,35149.0
2015-07-23,11588.8,11630.5,11438.4,11449.8,48128.0
2015-07-24,11482.3,11549.6,11280.9,11293.9,42115.0
2015-07-27,11315.8,11317.8,11029.4,11047.4,59275.0
2015-07-28,11100.9,11245.9,11064.4,11203.4,47709.0
2015-07-29,11196.4,11279.9,11118.4,11255.9,47417.0
2015-07-30,11247.4,11313.6,11136.9,11266.4,45929.0
2015-07-31,11275.4,11328.9,11168.9,11312.9,50055.0
2015-08-03,11288.4,11464.2,11244.4,11421.7,53357.0
2015-08-04,11418.7,11479.7,11380.0,11473.4,48196.0
2015-08-05,11475.9,11657.9,11474.9,11595.5,54909.0
2015-08-06,11603.7,11671.5,11530.1,11573.9,63958.0
2015-08-07,11581.4,11586.4,11481.9,11513.3,57396.0
2015-08-10,11543.3,11620.7,11429.3,11608.7,43097.0
2015-08-11,11561.4,11572.9,11262.6,11304.3,61251.0
2015-08-12,11198.1,11206.8,10892.3,11045.4,66680.0
2015-08-13,11079.9,11157.5,10976.4,11003.4,74708.0
2015-08-14,10987.9,11094.9,10909.1,11043.4,61070.0
2015-08-17,11036.9,11114.4,10811.9,10976.9,70896.0
2015-08-18,10973.4,10983.9,10880.9,10907.9,63958.0
2015-08-19,10843.4,10855.4,10669.4,10690.4,95371.0
2015-08-20,10653.9,10656.9,10305.9,10309.4,125440.0
2015-08-21,10147.4,10436.9,9981.4,10009.9,165315.0
2015-08-24,9805.4,9936.4,9317.4,9634.3,156872.0
2015-08-25,9744.8,10188.1,9737.0,9816.9,215988.0
2015-08-26,9984.9,10197.4,9847.4,10197.4,103154.0
2015-08-27,10201.9,10383.7,10166.4,10343.4,84921.0
2015-08-28,10309.9,10353.4,10181.9,10287.9,70845.0
2015-08-31,10154.9,10309.4,10128.4,10237.8,50967.0
2015-09-01,9967.3,10118.3,9883.7,9922.2,115858.0
2015-09-02,10030.7,10124.7,9956.7,10123.7,82073.0
2015-09-03,10124.7,10381.1,10112.2,10240.2,77893.0
2015-09-04,10138.2,10216.2,9954.8,10005.3,96838.0
2015-09-07,10096.2,10183.3,10051.8,10114.3,31881.0
2015-09-08,10140.3,10371.3,10092.8,10335.8,57650.0
2015-09-09,10464.8,10523.3,10155.7,10168.2,68030.0
2015-09-10,10232.7,10327.7,10152.7,10242.9,84891.0
2015-09-11,10242.2,10250.3,10075.9,10183.8,56235.0
2015-09-14,10171.3,10228.0,10080.8,10156.4,59016.0
2015-09-15,10174.4,10262.7,10065.4,10253.7,51780.0
2015-09-16,10232.2,10339.0,10170.7,10262.7,47397.0
2015-09-17,10276.7,10327.5,10129.6,10191.7,50013.0
2015-09-18,10199.2,10219.7,9856.5,9917.0,97976.0
2015-09-21,9890.4,10001.5,9780.5,9963.0,68135.0
2015-09-22,9982.5,10016.5,9556.2,9628.0,86687.0
2015-09-23,9519.5,9712.6,9483.5,9605.2,63550.0
2015-09-24,9588.7,9707.0,9360.3,9537.7,95543.0
2015-09-25,9598.2,9747.6,9560.7,9622.6,84999.0
2015-09-28,9586.5,9679.1,9433.8,9453.7,90037.0
2015-09-29,9419.2,9537.9,9301.2,9479.0,98071.0
2015-09-30,9598.5,9733.9,9580.6,9663.3,79749.0
2015-10-01,9762.0,9787.0,9450.3,9558.3,86874.0
2015-10-02,9573.9,9681.6,9388.3,9680.4,92439.0
2015-10-05,9732.4,9887.8,9646.9,9872.8,72995.0
2015-10-06,9825.3,9956.2,9726.9,9877.3,70772.0
2015-10-07,9896.8,10093.6,9888.8,10035.7,80964.0
2015-10-08,9946.1,10105.0,9905.6,10095.5,88296.0
2015-10-09,10110.4,10146.9,10110.4,10113.4,65725.0
2015-10-12,10118.4,10185.9,10052.9,10109.2,49569.0
2015-10-13,10099.2,10117.3,9936.4,9992.4,60986.0
2015-10-14,9968.4,10036.6,9885.0,9919.7,66778.0
2015-10-15,9977.2,10147.4,9954.1,10143.8,68745.0
2015-10-16,10134.4,10166.1,10049.8,10119.6,56498.0
2015-10-19,10103.1,10204.1,10064.2,10172.7,42779.0
2015-10-20,10159.7,10196.7,10078.3,10150.7,40602.0
2015-10-21,10199.7,10281.0,10106.5,10189.0,53590.0
2015-10-22,10208.9,10593.5,10194.5,10563.1,86666.0
2015-10-23,10631.0,10866.0,10589.9,10844.2,83485.0
2015-10-26,10811.0,10871.6,10810.4,10810.4,45088.0
2015-10-27,10788.5,10816.2,10692.5,10736.5,43123.0
2015-10-28,10724.0,10933.8,10698.8,10912.0,66159.0
2015-10-29,10877.4,10899.0,10747.7,10817.2,48901.0
2015-10-30,10845.8,10884.2,10754.5,10827.3,60343.0
2015-11-02,10764.4,11000.6,10735.0,10983.5,38848.0
2015-11-03,10964.1,11004.8,10889.8,10957.5,40236.0
2015-11-04,10978.0,11014.3,10822.7,10862.2,54802.0
2015-11-05,10863.0,10973.3,10788.1,10892.9,55111.0
2015-11-06,10906.9,11067.3,10849.4,11035.2,61232.0
2015-11-09,11003.3,11022.8,10794.9,10846.6,48218.0
2015-11-10,10861.2,10880.6,10859.8,10859.8,47505.0
2015-11-11,10866.3,11005.0,10844.9,10879.3,73745.0
2015-11-12,10895.8,10968.7,10721.3,10727.2,65992.0
2015-11-13,10730.3,10825.0,10613.4,10682.8,130791.0
2015-11-16,10499.3,10825.0,10499.2,10824.5,115145.0
2015-11-17,10838.3,10986.6,10791.3,10902.0,78817.0
2015-11-18,10901.8,11056.6,10884.6,11038.3,62709.0
2015-11-19,11051.8,11162.0,11043.5,11065.0,46054.0
2015-11-20,11069.7,11173.6,11058.2,11106.5,45608.0
2015-11-23,11140.5,11140.5,11033.9,11072.8,37141.0
2015-11-24,11076.4,11089.4,10875.0,10976.0,64447.0
2015-11-25,10979.5,11195.5,10926.5,11159.5,45900.0
2015-11-26,11180.0,11376.0,11170.5,11314.4,31631.0
2015-11-27,11272.2,11363.5,11254.0,11304.6,44544.0
2015-11-30,11285.6,11441.3,11260.6,11359.1,45101.0
2015-12-01,11415.6,11426.8,11242.8,11302.3,54405.0
2015-12-02,11320.8,11342.5,11087.0,11120.8,76197.0
2015-12-03,11159.8,11330.1,10648.2,10687.1,121435.0
2015-12-04,10692.6,10887.4,10637.5,10875.2,87503.0
2015-12-07,10876.2,11000.7,10812.2,10931.2,54213.0
2015-12-08,10889.2,10907.7,10620.3,10686.5,71899.0
2015-12-09,10700.0,10726.7,10452.6,10523.5,100590.0
2015-12-10,10524.1,10670.9,10504.6,10583.6,95831.0
2015-12-11,10600.6,10611.1,10273.6,10290.5,86083.0
2015-12-14,10356.1,10451.1,10122.0,10285.0,149638.0
2015-12-15,10263.5,10490.0,10223.5,10450.0,74186.0
2015-12-16,10488.0,10651.3,10423.1,10627.0,83035.0
2015-12-17,10629.0,10833.5,10527.0,10707.5,72545.0
2015-12-18,10664.4,10736.1,10512.4,10517.3,92219.0
2015-12-21,10549.4,10802.4,10475.8,10553.3,103069.0
2015-12-22,10592.2,10639.2,10400.1,10565.1,95374.0
2015-12-23,10564.9,10769.8,10562.4,10767.9,39194.0
2015-12-28,10724.2,10775.7,10631.2,10700.2,22580.0
2015-12-29,10737.7,10886.2,10735.7,10867.2,46202.0
2015-12-30,10883.7,10884.7,10696.7,10696.7,27594.0
2016-01-04,10517.2,10525.2,10255.1,10365.6,118188.0
2016-01-05,10392.1,10407.1,10175.6,10339.6,83093.0
2016-01-06,10242.0,10292.2,10097.8,10186.0,71107.0
2016-01-07,9967.7,10045.9,9816.4,9840.8,113475.0
2016-01-08,9979.6,10130.0,9733.1,9761.6,114013.0
2016-01-11,9700.9,9984.5,9699.4,9908.7,107132.0
